"","Country.name","UHC.index.of.service.coverage..SCI.","UHC.SCI.components..Reproductive..maternal..newborn.and.child.health","UHC.SCI.components...Infectious.diseases","UHC.SCI.components..Noncommunicable.diseases","UHC.SCI.components..Service.capacity.and.access","Year","Life.Ladder","Log.GDP.per.capita","Social.support","Healthy.life.expectancy.at.birth","Freedom.to.make.life.choices","Generosity","Perceptions.of.corruption","Positive.affect","Negative.affect","Confidence.in.national.government","Democratic.Quality","Delivery.Quality","Standard.deviation.of.ladder.by.country.year","Standard.deviation.Mean.of.ladder.by.country.year","GINI.index..World.Bank.estimate.","GINI.index..World.Bank.estimate...average.2000.16","gini.of.household.income.reported.in.Gallup..by.wp5.year","Most.people.can.be.trusted..Gallup","Most.people.can.be.trusted..WVS.round.1981.1984","Most.people.can.be.trusted..WVS.round.1989.1993","Most.people.can.be.trusted..WVS.round.1994.1998","Most.people.can.be.trusted..WVS.round.1999.2004","Most.people.can.be.trusted..WVS.round.2005.2009","Most.people.can.be.trusted..WVS.round.2010.2014","Completeness of birth registration, female (%)","Completeness of birth registration, male (%)","GDP per capita (constant 2010 US$)","Gini index (World Bank estimate)","Population density (people per sq. km of land area)","Research and development expenditure (% of GDP)"
"11","Belarus",76,91,68,58,96,2017,5.55291509628296,9.75080013275146,0.900255799293518,65.8000030517578,0.620979249477386,-0.129172563552856,0.654113411903381,0.540905773639679,0.232768073678017,0.447916299104691,-0.664460480213165,-0.539596855640411,1.66256368160248,0.299403756856918,NA,0.281294117647059,0.283250212669373,NA,NA,0.250246316194534,0.229923516511917,NA,NA,0.329064935445786,"..","..","6375.28892983321","25.4","46.792242075569","0.58411"
"12","Belgium",84,94,81,69,94,2017,6.92834758758545,10.6609840393066,0.921639084815979,71.8000030517578,0.856801986694336,0.0517601482570171,0.543046057224274,0.78636759519577,0.233597695827484,0.449731916189194,0.904255330562592,1.31666731834412,1.5100132226944,0.217947095632553,NA,0.284307692307692,0.354373842477798,NA,NA,NA,NA,NA,NA,NA,"100","100","46637.5108912501","27.4","375.66571994716","2.70234"
"13","Benin",40,46,35,73,21,2017,4.85318088531494,7.63251543045044,0.435878992080688,53.9000015258789,0.726808249950409,-0.0428110808134079,0.767234623432159,0.614722311496735,0.457920342683792,0.615089297294617,0.211715877056122,-0.571933686733246,2.99812650680542,0.617765247821808,NA,0.432666666666667,0.577069699764252,NA,NA,NA,NA,NA,NA,NA,"..","..","1166.76057483953","..","99.1061014544165",".."
"14","Bosnia and Herzegovina",61,64,65,43,78,2017,5.08990240097046,9.36853122711182,0.775295257568359,67.5,0.563798666000366,0.0924986377358437,0.923343062400818,0.597341656684875,0.270745515823364,0.1263797134161,-0.294609069824219,-0.339562118053436,2.28100657463074,0.448143482208252,NA,0.3256,0.486203879117966,NA,NA,NA,0.247500002384186,0.155833333730698,NA,NA,"..","..","5772.85405517122","..","65.45951171875","0.20048"
"15","Botswana",61,67,72,62,47,2017,3.50488114356995,9.66823196411133,0.768258631229401,58.2000007629395,0.817308008670807,-0.253493279218674,0.731441497802734,0.656396448612213,0.276252508163452,0.770821094512939,0.706385910511017,0.550655007362366,2.66942548751831,0.761630833148956,NA,0.626,0.637864351272583,NA,NA,NA,NA,NA,NA,NA,"88","87","7859.16728321039","..","3.89096748010516",".."
"16","Brazil",79,77,70,71,99,2017,6.3329291343689,9.55417442321777,0.904694259166718,66.1999969482422,0.764792561531067,-0.184547558426857,0.794457376003265,0.71594512462616,0.307716906070709,0.16549026966095,0.0237931460142136,-0.304572016000748,2.5305061340332,0.399579107761383,NA,0.547285714285714,0.39262256026268,NA,NA,0.0660198628902435,NA,NA,0.0938110947608948,0.0706378445029259,"..","..","11021.7182622703","53.3","24.8660384966033","1.26326"
"17","Bulgaria",66,81,60,44,87,2017,5.09690189361572,9.82894229888916,0.941754579544067,66.5999984741211,0.689047038555145,-0.156459167599678,0.910799741744995,0.61421674489975,0.188637346029282,0.326087951660156,0.375986754894257,0.171329617500305,1.85236382484436,0.363429367542267,NA,0.354666666666667,0.343219518661499,NA,NA,NA,0.236940294504166,NA,0.196570679545403,NA,"..","..","8350.66224691942","40.4","65.1800571112749","0.75239"
"18","Burkina Faso",40,57,44,64,15,2017,4.64689111709595,7.44020652770996,0.784761369228363,53.4000015258789,0.613774716854095,-0.0548434555530548,0.727451324462891,0.585172474384308,0.353821069002151,0.54065614938736,-0.433187961578369,-0.386786103248596,2.19759202003479,0.472916603088379,NA,0.394666666666667,0.553144335746765,NA,NA,NA,NA,NA,0.143534183502197,NA,"..","..","771.251918326884","..","70.1508918128655","0.70072"
"19","Cambodia",60,73,66,68,38,2017,4.58584213256836,8.20113086700439,0.765094935894012,61.2000007629395,0.963774681091309,0.0859953239560127,0.821022927761078,0.798616647720337,0.408283829689026,0.752442479133606,-0.493880957365036,-0.87629222869873,2.73265147209167,0.595888674259186,NA,NA,0.545690596103668,NA,NA,NA,NA,NA,NA,NA,"..","..","1135.84433592557","..","90.6946181735781",".."
"20","Cameroon",46,48,47,75,26,2017,5.07405138015747,8.12116146087646,0.694596409797668,51.9000015258789,0.766945004463196,-0.0315709635615349,0.843585610389709,0.632338762283325,0.377498745918274,0.578775525093079,-1.06689774990082,-0.962742328643799,2.81522440910339,0.554827749729156,NA,0.438333333333333,0.56523722410202,NA,NA,NA,NA,NA,NA,NA,"..","..","1481.73198996125","..","51.9685325040723",".."
"21","Canada",89,94,82,81,100,2017,7.41486835479736,10.6923446655273,0.933748960494995,73.4000015258789,0.945145010948181,0.155016168951988,0.362034320831299,0.862773478031158,0.217981159687042,0.652735948562622,1.29528379440308,1.86652767658234,1.60336375236511,0.216236308217049,NA,0.3368,0.60134893655777,NA,NA,NA,NA,0.385469198226929,0.418500453233719,NA,"100","100","51170.475833794","33.3","4.01861558408139","1.67165"
"22","Central African Republic",33,37,36,55,16,2017,3.4758620262146,6.49411678314209,0.319589138031006,45.2000007629395,0.645252346992493,0.0937543585896492,0.889566004276276,0.613865196704865,0.599335491657257,0.650284886360168,-1.52312183380127,-1.53873252868652,2.80707383155823,0.80759072303772,NA,0.499,0.715371251106262,NA,NA,NA,NA,NA,NA,NA,"..","..","371.108792249647","..","7.37748884394363",".."
"23","Chad",28,28,27,65,12,2017,4.55893707275391,7.47769117355347,0.660615563392639,47.7000007629395,0.61484968662262,-0.00491950381547213,0.792389929294586,0.627503156661987,0.538245439529419,0.473544389009476,-1.35647988319397,-1.34958696365356,2.88096046447754,0.63193690776825,NA,0.4155,0.561519265174866,NA,NA,NA,NA,NA,NA,NA,"..","..","817.534137105887","..","11.9256456480305",".."
"24","Chile",70,92,74,38,94,2017,6.32011938095093,10.0330686569214,0.879840791225433,69.8000030517578,0.790116488933563,-0.0302612632513046,0.835987508296967,0.838474810123444,0.29104208946228,0.268283307552338,0.688375234603882,1.05940806865692,2.16242027282715,0.342148631811142,NA,0.491571428571429,0.574647009372711,NA,NA,0.220666661858559,0.213770002126694,0.221766665577888,0.124709077179432,0.126401633024216,"..","..","14741.1924958248","44.4","24.8414839222839","0.35518"
"25","China",79,86,69,65,100,2017,5.09906148910522,9.63617706298828,0.772033214569092,69,0.877617597579956,-0.191224813461304,NA,0.821097254753113,0.214004755020142,NA,-0.87781023979187,-0.0645545125007629,2.27166390419006,0.445506274700165,NA,0.425,0.633354961872101,NA,NA,0.594594597816467,0.504000008106232,0.544605791568756,0.496780037879944,0.614519000053406,"..","..","7346.61135498219","..","147.674050750889","2.14512"
"26","Colombia",76,82,61,77,85,2017,6.15734195709229,9.49212646484375,0.90924996137619,67.4000015258789,0.837554633617401,-0.162942990660667,0.875018119812012,0.836926996707916,0.299308955669403,0.221882596611977,-0.337445110082626,-0.113991968333721,2.5448215007782,0.413298726081848,NA,0.5416,0.542027473449707,NA,NA,NA,0.10721991956234,NA,0.143140494823456,0.0412782952189445,"..","..","7622.28402206975","49.7","44.0748679585399","0.24294"
"27","Costa Rica",77,87,68,78,77,2017,7.22518157958984,9.65020656585693,0.92169713973999,71.0999984741211,0.935618460178375,-0.0731791779398918,0.74235075712204,0.874395847320557,0.275440067052841,0.407448440790176,0.815186500549316,0.404245346784592,2.07998394966125,0.287879824638367,NA,0.490882352941176,0.469308227300644,NA,NA,NA,NA,NA,NA,NA,"..","..","9775.85087831526","48.3","96.9438699569134","0.42336"
"28","Croatia",71,86,71,46,89,2017,5.3431658744812,10.0287885665894,0.770309686660767,69.5999984741211,0.715822279453278,-0.105906412005424,0.891559720039368,0.655305027961731,0.316488236188889,0.211000666022301,0.628294408321381,0.380520015954971,1.57082140445709,0.29398700594902,NA,0.321428571428571,0.338284969329834,NA,NA,NA,0.22826087474823,NA,NA,NA,"100","100","15350.4430330327","30.4","73.7049857040743","0.8645"
"29","Cyprus",78,94,75,54,97,2017,6.06205129623413,10.3863801956177,0.818671047687531,73.5,0.811670660972595,0.0400627143681049,0.851206421852112,0.784188449382782,0.300516605377197,0.312653422355652,0.827816247940063,0.904508113861084,2.36952495574951,0.390878409147263,NA,0.326166666666667,0.410138428211212,NA,NA,NA,NA,NA,0.0988750606775284,0.0751437246799469,"100","100","30650.244788011","31.4","127.670995670996","0.56092"
"30","Denmark",81,94,66,71,96,2017,7.59370231628418,10.7511253356934,0.952100098133087,72.0999984741211,0.955416321754456,0.152028441429138,0.181147560477257,0.823667407035828,0.205775305628777,0.572353303432465,1.1904433965683,1.86886262893677,1.66807425022125,0.219665482640266,NA,0.267,0.63081294298172,NA,NA,NA,NA,NA,NA,NA,"100","100","62733.0198084484","28.7","137.294117647059","3.046"
"31","Dominican Republic",74,83,63,77,75,2017,5.60520267486572,9.58883571624756,0.89436811208725,65.5,0.855359017848969,-0.123324632644653,0.760489642620087,0.738943636417389,0.274745523929596,0.459901332855225,0.158870548009872,-0.397110551595688,3.24083709716797,0.578183770179749,NA,0.484705882352941,0.48091322183609,NA,NA,NA,0.251798570156097,NA,NA,NA,"..","..","7273.3537647331","42.2","217.618112192093",".."
"32","Ecuador",77,81,64,78,86,2017,5.83951854705811,9.2669038772583,0.848941743373871,68.1999969482422,0.879128158092499,-0.170977935194969,0.733588755130768,0.829141974449158,0.314343482255936,0.640512883663177,-0.137001991271973,-0.655896365642548,2.69317531585693,0.461198180913925,NA,0.496,0.413334310054779,NA,NA,NA,NA,NA,NA,0.0716069936752319,"..","..","5205.76302016859","44.7","67.5848002899018",".."
"33","El Salvador",76,82,66,76,79,2017,6.33931827545166,8.89459609985352,0.828952610492706,65.8000030517578,0.757827341556549,-0.17079296708107,0.777748584747314,0.848850607872009,0.268448352813721,0.270235061645508,-0.0469647720456123,-0.470085859298706,2.47715592384338,0.390760630369186,NA,0.457823529411765,0.402195245027542,NA,NA,NA,0.141148328781128,NA,NA,NA,"..","..","3441.35525058658","38","308.307046332046","0.18115"
"34","Estonia",75,89,74,55,89,2017,5.93839597702026,10.2915096282959,0.935686349868774,68.4000015258789,0.861749231815338,-0.104597918689251,0.668402254581451,0.805217981338501,0.160164102911949,0.405946254730225,0.936887979507446,1.32073378562927,1.85183990001678,0.311841756105423,NA,0.332461538461538,0.396599620580673,NA,NA,NA,0.210577860474586,NA,NA,0.389869928359985,"100","100","19109.3083054734","30.4","30.3055900621118","1.28867"
"35","Ethiopia",39,46,34,81,19,2017,4.18031549453735,7.45583438873291,0.733539760112762,58,0.717101216316223,0.00751884281635284,0.756898939609528,0.608514785766602,0.304436177015305,0.768354296684265,-1.56467723846436,-0.678986608982086,1.82991588115692,0.437745869159698,NA,0.340333333333333,0.42026749253273,NA,NA,NA,NA,NA,0.22526316344738,NA,"..","..","548.41948050565","..","106.400024","0.27441"
"36","Finland",78,93,59,69,98,2017,7.78825187683105,10.6111717224121,0.963826417922974,71.8000030517578,0.962198972702026,-0.00569597538560629,0.192412778735161,0.787137091159821,0.176065787672997,0.597538590431213,1.31100702285767,1.99989986419678,1.41639828681946,0.181863442063332,NA,0.275615384615385,0.425614446401596,NA,0.571719229221344,NA,0.479229986667633,NA,0.580378592014313,NA,"100","100","48086.6660272051","27.4","18.1244908031983","2.7569"
"37","France",78,96,71,56,96,2017,6.63522243499756,10.5611543655396,0.9314945936203,73.5999984741211,0.83389014005661,-0.127377018332481,0.601486027240753,0.762097775936127,0.241983935236931,0.374793529510498,0.679978489875793,1.30175757408142,1.63106441497803,0.245819106698036,NA,0.320923076923077,0.372855246067047,NA,NA,NA,NA,NA,0.187642320990562,NA,"100","100","43015.2106388619","31.6","122.114008137994","2.20557"
"38","Gabon",49,62,25,66,56,2017,4.78238296508789,9.71489143371582,0.806941151618958,59.2000007629395,0.652359545230865,-0.247073993086815,0.868305504322052,0.634047150611877,0.446124285459518,0.286989241838455,-0.571620047092438,-0.803622364997864,2.45713114738464,0.513788044452667,0.38,0.422,0.589230179786682,NA,NA,NA,NA,NA,NA,NA,"..","..","9212.97258063355","38","8.01343967089688",".."
"39","Georgia",66,73,64,45,90,2017,4.45077466964722,9.1845178604126,0.59049516916275,64.6999969482422,0.820908784866333,-0.230505853891373,0.589631974697113,0.58112770318985,0.209639608860016,0.296396225690842,-0.0541742742061615,0.674269735813141,1.77507996559143,0.398824959993362,NA,0.380117647058824,0.454276502132416,NA,NA,NA,0.176792830228806,NA,0.176588624715805,NA,"..","..","4512.76110026501","37.9","65.2227859617201","0.29104"
"40","Germany",83,94,79,64,99,2017,7.07432460784912,10.7194995880127,0.892166078090668,71.9000015258789,0.840727865695953,0.141375407576561,0.414021193981171,0.736565709114075,0.196434810757637,0.622935652732849,0.982752084732056,1.73796725273132,1.441730260849,0.203797578811646,NA,0.306222222222222,0.319597333669662,NA,NA,NA,0.321322798728943,NA,0.34359136223793,0.447487652301788,"100","100","46916.8241814135","..","236.595494618731","3.03763"
"41","Ghana",47,68,31,79,31,2017,5.48131084442139,8.34939670562744,0.66911107301712,56.7999992370605,0.783046364784241,0.082861453294754,0.838609993457794,0.702511727809906,0.247518941760063,0.670288562774658,0.33919432759285,-0.0861630886793137,2.55111956596375,0.465421438217163,NA,0.426,0.501201510429382,NA,NA,NA,NA,NA,0.0848010405898094,0.0503094419836998,"..","..","1739.46749204249","..","127.983963259207",".."
"42","Greece",75,86,79,50,91,2017,5.14824151992798,10.1094598770142,0.752899527549744,72.1999969482422,0.438300013542175,-0.29122731089592,0.872239470481873,0.602939009666443,0.332830756902695,0.139880895614624,0.291475027799606,0.124455310404301,2.41163110733032,0.468437820672989,NA,0.346384615384615,0.346705943346024,NA,NA,NA,NA,NA,NA,NA,"100","100","23052.9862313961","34.4","83.4342823894492","1.13109"
"43","Guatemala",55,71,56,72,32,2017,6.32511854171753,8.91244697570801,0.826492071151733,64.5,0.91452169418335,-0.0599324032664299,0.799747884273529,0.845865786075592,0.308086156845093,0.458623856306076,-0.427182585000992,-0.673654079437256,2.8589460849762,0.451998800039291,NA,0.523666666666667,0.495318561792374,NA,NA,NA,NA,NA,0.149302989244461,NA,"..","..","3286.74128937979","..","150.125214632325","0.028"
"44","Guinea",37,41,40,67,17,2017,4.87372255325317,7.60036516189575,0.634025573730469,53.2999992370605,0.738212823867798,0.046024639159441,0.750026226043701,0.70447713136673,0.42246088385582,0.639980792999268,-0.673567533493042,-1.02909016609192,2.96993541717529,0.609377205371857,NA,0.387,0.618353307247162,NA,NA,NA,NA,NA,NA,NA,"..","..","869.31657990436","..","49.1109352108091",".."
"45","Haiti",49,51,51,75,30,2017,3.82386565208435,7.41045141220093,0.646984994411469,55.5,0.484429150819778,0.380740523338318,0.64719158411026,0.573366701602936,0.321692764759064,0.435076951980591,-0.720903515815735,-1.424440741539,2.15694499015808,0.564074456691742,NA,0.411,0.574473023414612,NA,NA,NA,NA,NA,NA,NA,"85.4","84.2","728.845001687994","..","398.489332365747",".."
"46","Honduras",65,79,66,76,45,2017,6.01998567581177,8.42107772827148,0.843354940414429,67,0.898377418518066,0.0786035656929016,0.783429443836212,0.842200934886932,0.248383343219757,0.495585024356842,-0.49690055847168,-0.677816927433014,2.96358609199524,0.492291212081909,NA,0.5466875,0.561559021472931,NA,NA,NA,NA,NA,NA,NA,"..","..","2176.29516512704","50.5","84.2703816248101","0.04"
"47","Hungary",74,89,68,53,94,2017,6.06503868103027,10.1953191757202,0.87674754858017,67.1999969482422,0.661165952682495,-0.145813331007957,0.886361300945282,0.735184252262115,0.180921271443367,0.377770513296127,0.589618563652039,0.445649564266205,1.79240918159485,0.295531362295151,NA,0.297916666666667,0.330753207206726,NA,0.331434398889542,NA,0.224615380167961,NA,0.288842171430588,NA,"100","100","15809.773172528","30.6","108.118480061858","1.3486"
"48","Iceland",84,92,81,74,90,2017,7.47621393203735,10.7468414306641,0.966752827167511,73,0.938783288002014,0.243323683738708,0.726845383644104,0.895254552364349,0.148160010576248,0.365041941404343,1.37449526786804,1.58184087276459,1.63009083271027,0.218036949634552,NA,0.280833333333333,0.33243790268898,NA,NA,NA,NA,NA,NA,NA,"100","100","51045.9400564538","..","3.42543640897756","2.10444"
"49","India",55,70,45,64,46,2017,4.04611110687256,8.76821231842041,0.606767475605011,59.7000007629395,0.885850429534912,-0.0536204949021339,0.78080278635025,0.682090997695923,0.317936778068542,0.839278399944305,-0.22030808031559,-0.0992568284273148,1.65982758998871,0.41022789478302,NA,0.351,0.380112171173096,NA,NA,0.335200011730194,0.328431367874146,0.388611376285553,0.206896558403969,0.321496307849884,"..","..","1986.63290974886","..","450.243285831043","0.66584"
"50","Indonesia",57,79,36,58,65,2017,5.09840154647827,9.32266330718994,0.795589208602905,61.9000015258789,0.865026295185089,0.475460678339005,0.900416433811188,0.862584173679352,0.319171577692032,0.825765371322632,-0.190967619419098,-0.16609026491642,2.32517910003662,0.456060409545898,NA,0.395,0.449708253145218,NA,NA,NA,NA,0.456999987363815,0.410996198654175,NA,"77.7","78.2","4120.52187883992","38.1","146.086480787383","0.2381"
"51","Iraq",61,63,57,62,65,2017,4.46239900588989,9.65911960601807,0.695109367370605,59.5999984741211,0.627722024917603,-0.0377148538827896,0.757108807563782,0.505288541316986,0.590538740158081,0.424050778150558,-1.68963372707367,-1.36938738822937,2.89948487281799,0.649759232997894,NA,0.2905,0.550368130207062,NA,NA,NA,NA,0.46423926949501,0.391369611024857,0.300000011920929,"..","..","5637.90527139042","..","86.5016316022141","0.04455"
"52","Ireland",76,93,60,68,88,2017,7.06015539169312,11.1174402236938,0.943481981754303,72.1999969482422,0.905341148376465,0.210759684443474,0.337084740400314,0.833388924598694,0.212784126400948,0.603799641132355,1.15564441680908,1.46319770812988,1.76133441925049,0.249475300312042,NA,0.326153846153846,0.367454171180725,NA,NA,NA,NA,NA,NA,NA,"100","100","71755.9670176427","..","69.7835389751778",".."
"53","Israel",82,89,80,68,93,2017,7.33103609085083,10.4082641601562,0.916440844535828,73.0999984741211,0.768076300621033,0.142772495746613,0.792652249336243,0.673591315746307,0.276443153619766,0.389368146657944,-0.0913962423801422,1.12643468379974,1.52268290519714,0.207703649997711,NA,0.4112,0.245601236820221,NA,NA,NA,NA,0.230252102017403,NA,NA,"100","100","34243.0125958545","..","402.647874306839","4.81602"
"54","Italy",82,86,82,67,96,2017,6.19887018203735,10.4693717956543,0.919791221618652,73.4000015258789,0.632843255996704,-0.0371780842542648,0.866667926311493,0.661180734634399,0.32284614443779,0.230196297168732,0.645315766334534,0.429987013339996,1.92724657058716,0.310902863740921,NA,0.344,0.346708387136459,NA,NA,NA,NA,NA,0.282520323991776,NA,"100","100","35086.4783019615","35.9","205.809169103148","1.37744"
"55","Jamaica",65,85,36,76,74,2017,5.8897590637207,9.01110458374023,0.913029849529266,67.0999984741211,0.860676348209381,-0.128097996115685,0.882796168327332,0.769282162189484,0.243399634957314,0.348201751708984,0.472380340099335,0.0764720067381859,2.39933776855469,0.407374531030655,NA,0.469,0.5645352602005,NA,NA,NA,NA,NA,NA,NA,"..","..","4785.65354700462","..","269.700184672207",".."
"56","Japan",83,85,79,71,100,2017,5.9106764793396,10.5713739395142,0.881961286067963,74.9000015258789,0.849396586418152,-0.217277035117149,0.659198641777039,0.740387618541718,0.175512179732323,0.412489950656891,1.06427764892578,1.51991748809814,1.9502569437027,0.329954952001572,NA,0.321,0.426153689622879,NA,0.407622575759888,0.375865489244461,NA,0.39647576212883,0.365875899791718,0.359394192695618,"100","100","48510.6094087242","..","347.777586679833","3.21254"
"57","Jordan",76,78,79,66,80,2017,4.80808258056641,9.0285177230835,0.814664542675018,66.5999984741211,0.766262471675873,-0.150125920772552,NA,0.62779837846756,0.391505181789398,NA,-0.625526785850525,0.18353870511055,2.52389240264893,0.524927020072937,NA,0.343,0.363606214523315,NA,NA,NA,NA,0.274104684591293,0.308730930089951,0.132499992847443,"..","..","3262.51760205967","..","110.150630772697",".."
"58","Kazakhstan",76,87,75,56,90,2017,5.88235139846802,10.0881223678589,0.914093196392059,64,0.745243966579437,-0.0456177592277527,0.755250692367554,0.756762206554413,0.171486407518387,0.755705773830414,-0.605611205101013,-0.263141751289368,1.74532377719879,0.29670512676239,NA,0.305866666666667,0.337242871522903,NA,NA,NA,NA,NA,NA,0.383327454328537,"..","..","10867.7387377836","27.5","6.68140015557284","0.12972"
"59","Kenya",55,71,49,69,39,2017,4.47565412521362,8.00404071807861,0.714604318141937,59.5,0.853394389152527,0.249233558773994,0.854000389575958,0.788452208042145,0.230210304260254,0.63786256313324,-0.643422961235046,-0.478327602148056,2.5323634147644,0.565808534622192,NA,0.4365,0.521331965923309,NA,NA,NA,NA,NA,NA,NA,"..","..","1156.42529688802","..","88.2409828864603",".."
"60","Kuwait",76,83,76,57,95,2017,6.09390544891357,11.0902719497681,0.853491306304932,66.5,0.884181618690491,-0.0390139408409595,NA,0.692071914672852,0.307320803403854,NA,-0.323726534843445,-0.114577859640121,2.35575318336487,0.386575281620026,NA,NA,0.591861426830292,NA,NA,NA,NA,NA,NA,0.291536062955856,"..","..","33359.427780449","..","227.614983164983","0.08118"
"61","Latvia",71,88,65,47,97,2017,5.97781753540039,10.1291818618774,0.895098745822906,66.5,0.699520111083984,-0.158590495586395,0.798378109931946,0.623312771320343,0.23175311088562,0.264000505208969,0.628388106822968,0.88166081905365,1.81480312347412,0.303589582443237,NA,0.360333333333333,0.36218523979187,NA,NA,NA,0.239166662096977,NA,NA,NA,"100","100","15429.7034595086","35.6","31.2358957864265","0.51012"
